date,wind,sr,rh,t
2018/7/1 1:00,3.6,0,84,25.4
2018/7/1 2:00,3.9,0,86,25.5
2018/7/1 3:00,4.7,0,86,25.6
2018/7/1 4:00,4,0,86,25.4
2018/7/1 5:00,2.3,0.01,88,25.2
2018/7/1 6:00,4.3,0.18,84,25.7
2018/7/1 7:00,3.9,0.89,78,27
2018/7/1 8:00,4.8,1.46,72,28.4
2018/7/1 9:00,4.7,2.41,62,29
2018/7/1 10:00,4.2,1.75,61,29.3
2018/7/1 11:00,4.1,2.91,54,31.5
2018/7/1 12:00,5.3,3.21,51,30.7
2018/7/1 13:00,6.6,3.08,47,31.5
2018/7/1 14:00,6.1,2.95,48,31.3
2018/7/1 15:00,5.4,2.69,52,30.4
2018/7/1 16:00,5.4,2.09,53,30.2
2018/7/1 17:00,4.8,1.55,57,29.3
2018/7/1 18:00,5.2,0.84,60,28.6
2018/7/1 19:00,3.7,0.23,62,27.8
2018/7/1 20:00,3.8,0,66,27.1
2018/7/1 21:00,3.6,0,70,26.5
2018/7/1 22:00,2.3,0,74,25.9
2018/7/1 23:00,2.8,0,76,25.5
2018/7/2 0:00,2,0,74,25.8
2018/7/2 1:00,1.6,0,70,25.8
2018/7/2 2:00,1.2,0,69,26
2018/7/2 3:00,2.5,0,70,25.6
2018/7/2 4:00,1,0,72,25.4
2018/7/2 5:00,1.1,0.01,70,25.4
2018/7/2 6:00,1.2,0.12,75,25.3
2018/7/2 7:00,3.3,0.69,64,26.7
2018/7/2 8:00,2.7,1.73,62,28.5
2018/7/2 9:00,3.2,1.61,62,28.6
2018/7/2 10:00,3.3,1.79,61,29.7
2018/7/2 11:00,4.5,1.7,59,29.7
2018/7/2 12:00,4.7,1.62,61,30
2018/7/2 13:00,4.2,2.28,57,30.9
2018/7/2 14:00,4.7,2.14,53,31.9
2018/7/2 15:00,4.7,2.75,52,32.3
2018/7/2 16:00,6,2.07,55,30.8
2018/7/2 17:00,5.2,1.55,55,30.5
2018/7/2 18:00,4.2,0.82,61,29.4
2018/7/2 19:00,2.9,0.21,68,28.3
2018/7/2 20:00,4.6,0,70,27.3
2018/7/2 21:00,4,0,75,26.8
